w1,w2,paraphrase
consumer,benefit,benefit gained by a consumer
consumer,benefit,benefit received by a consumer
consumer,benefit,benefit acquired by a consumer
consumer,benefit,benefit enjoyed by the consumer
consumer,benefit,benefit felt by the consumer
consumer,benefit,benefit experienced by the consumer
consumer,benefit,benefit gained by the consumer
consumer,benefit,benefit received by the consumer
consumer,benefit,benefit acquired by the consumer
consumer,benefit,benefit enjoyed by consumers
consumer,benefit,benefit felt by consumers
consumer,benefit,benefit experienced by consumers
consumer,benefit,benefit gained by consumers
consumer,benefit,benefit received by consumers
consumer,benefit,benefit acquired by consumers
consumer,benefit,benefit given to a consumer
consumer,benefit,benefit given to the consumer
consumer,benefit,benefit given to consumers
consumer,benefit,benefit available to a consumer
consumer,benefit,benefit available to the consumer
consumer,benefit,benefit available to consumers
consumer,benefit,benefit granted to a consumer
consumer,benefit,benefit granted to the consumer
consumer,benefit,benefit granted to consumers
consumer,benefit,benefit passed on to a consumer
consumer,benefit,benefit passed on to the consumer
consumer,benefit,benefit passed on to consumers
contact,time,amount of time in contact with disinfectant
contact,time,amount of time in contact with disinfectant to be effective
contact,time,amount of time in contact until disinfection occurs
contact,time,amount of time in contact until disinfection happens
contact,time,amount of time in contact required for disinfection to occur
contact,time,amount of time in contact required for disinfection to happen
contact,time,duration of time in contact with disinfectant
contact,time,duration of time in contact with disinfectant to be effective
contact,time,duration of time in contact until disinfection occurs
contact,time,duration of time in contact until disinfection happens
contact,time,duration of time in contact required for disinfection to occur
contact,time,duration of time in contact required for disinfection to happen
contact,time,time in contact with disinfectant to ensure efficacy
contact,time,time in contact with disinfectant required for efficacy
contact,time,time in contact with disinfectant it takes to be effective
contact,time,time it takes in contact with disinfectant to ensure efficacy
contact,time,time set for contact with disinfectant to ensure efficacy
contact,time,time set for contact with disinfectant required for efficacy
contact,time,time set for contact with disinfectant it takes to be effective
contact,time,time set for contact with disinfectant to guarantee efficacy
contact,time,time specified for contact with disinfectant to ensure efficacy
contact,time,time specified for contact with disinfectant required for efficacy
contact,time,time specified for contact with disinfectant it takes to be effective
contact,time,time specified for contact with disinfectant to guarantee efficacy
contact,time,time span of contact with disinfectant
contact,time,time span of contact with disinfectant to be effective
contact,time,time span of contact with disinfectant for efficacy
contact,time,time it takes in contact with disinfectant to guarantee efficacy
contact,time,time required in contact with disinfectant to guarantee efficacy
contact,time,time required in contact with disinfectant to ensure efficacy
copper,wire,wire made of copper
copper,wire,wire made up of copper
copper,wire,wire made out of copper
copper,wire,wire made by using copper
copper,wire,wire made with copper
copper,wire,wire made from copper
copper,wire,wire created by using copper
copper,wire,wire created with copper
copper,wire,wire created from copper
copper,wire,wire produced by using copper
copper,wire,wire produced with copper
copper,wire,wire containing copper
copper,wire,wire that contains copper
copper,wire,wire that has copper in it
copper,wire,wire with copper in it
copper,wire,wire with copper inside of it
copper,wire,wire containing copper as its sole component
copper,wire,wire that contains copper as its sole component
copper,wire,wire that has copper as its sole component
copper,wire,wire containing copper as the sole component
copper,wire,wire that contains copper as the sole component
copper,wire,wire that has copper as the sole component
copper,wire,wire made of copper used to conduct electricity
copper,wire,wire made up of copper used to conduct electricity
copper,wire,wire made out of copper used to conduct electricity
copper,wire,wire made with copper used to conduct electricity
copper,wire,wire made from copper used to conduct electricity
corduroy,trousers,trousers made of corduroy
corduroy,trousers,trousers composed of corduroy
corduroy,trousers,trousers made of corduroy material
corduroy,trousers,trousers made of corduroy fabric
corduroy,trousers,trousers made out of corduroy
corduroy,trousers,trousers made out of corduroy material
corduroy,trousers,trousers made out of corduroy fabric
corduroy,trousers,trousers made with corduroy
corduroy,trousers,trousers sewed from corduroy
corduroy,trousers,trousers sewed from corduroy material
corduroy,trousers,trousers sewed from corduroy fabric
corduroy,trousers,trousers stitched from corduroy
corduroy,trousers,trousers stitched from corduroy material
corduroy,trousers,trousers stitched from corduroy fabric
corduroy,trousers,trousers stitched with corduroy
corduroy,trousers,trousers stitched with corduroy material
corduroy,trousers,trousers stitched with corduroy fabric
corduroy,trousers,trousers stitched using corduroy
corduroy,trousers,trousers stitched using corduroy material
corduroy,trousers,trousers stitched using corduroy fabric
corduroy,trousers,trousers tailored out of corduroy
corduroy,trousers,trousers tailored from corduroy
corduroy,trousers,trousers tailored using corduroy
corduroy,trousers,trousers weaved out of corduroy
corduroy,trousers,trousers weaved from corduroy
corduroy,trousers,trousers weaved using corduroy
corduroy,trousers,trousers tailored out of corduroy material
corduroy,trousers,trousers tailored from corduroy material
corduroy,trousers,trousers tailored using corduroy material
corduroy,trousers,trousers weaved out of corduroy material
corduroy,trousers,trousers weaved from corduroy material
corduroy,trousers,trousers weaved using corduroy material
corduroy,trousers,trousers tailored out of corduroy fabric
corduroy,trousers,trousers tailored from corduroy fabric
corduroy,trousers,trousers tailored using corduroy fabric
corduroy,trousers,trousers weaved out of corduroy fabric
corduroy,trousers,trousers weaved from corduroy fabric
corduroy,trousers,trousers weaved using corduroy fabric
corduroy,trousers,trousers of twisted fibres called corduroy
corduroy,trousers,trousers that are cut from corduroy
corduroy,trousers,trousers that are cut from corduroy fabric
corduroy,trousers,trousers that are cut from corduroy material
corduroy,trousers,trousers that are sewn from corduroy
corduroy,trousers,trousers that are sewn from corduroy material
corduroy,trousers,trousers that are sewn from corduroy fabric
corporation,tax,tax on a corporation
corporation,tax,tax imposed on a corporation
corporation,tax,tax levied on a corporation
corporation,tax,tax placed on a corporation
corporation,tax,tax imposed on corporations
corporation,tax,tax levied on corporations
corporation,tax,tax placed on corporations
corporation,tax,tax imposed on the income of a corporation
corporation,tax,tax levied on the income of a corporation
corporation,tax,tax placed on the income of a corporation
corporation,tax,tax imposed on the income of corporations
corporation,tax,tax levied on the income of corporations
corporation,tax,tax placed on the income of corporations
corporation,tax,tax deducted by a corporation
corporation,tax,tax paid by a corporation
corporation,tax,tax that a corporation has to pay
corporation,tax,tax that a corporation must pay
corporation,tax,tax that a corporation is required to pay
corporation,tax,tax that corporations have to pay
corporation,tax,tax that corporations must pay
corporation,tax,tax that corporations are required to pay
corporation,tax,taxes imposed on a corporation
corporation,tax,taxes levied on a corporation
corporation,tax,taxes placed on a corporation
corporation,tax,taxes imposed on corporations
corporation,tax,taxes levied on corporations
corporation,tax,taxes placed on corporations
corporation,tax,taxes imposed on the income of a corporation
corporation,tax,taxes levied on the income of a corporation
corporation,tax,taxes placed on the income of a corporation
corporation,tax,taxes imposed on the income of corporations
corporation,tax,taxes levied on the income of corporations
corporation,tax,taxes placed on the income of corporations
corporation,tax,taxes deducted by a corporation
corporation,tax,taxes paid by a corporation
corporation,tax,taxes that a corporation has to pay
corporation,tax,taxes that a corporation must pay
corporation,tax,taxes that a corporation is required to pay
corporation,tax,taxes that corporations have to pay
corporation,tax,taxes that corporations must pay
corporation,tax,taxes that corporations are required to pay
council,housing,housing provided by a council
council,housing,housing offered by a council
council,housing,housing created by a council
council,housing,housing governed by a council
council,housing,housing owned and used by a council
council,housing,housing owned by a council
council,housing,housing used by a council
council,housing,housing supplied by a council
council,housing,housing built by a council
council,housing,housing constructed by a council
council,housing,housing produced by a council
council,housing,housing regulated by a council
council,housing,housing provided by the council
council,housing,housing offered by the council
council,housing,housing created by the council
council,housing,housing governed by the council
council,housing,housing owned and used by the council
council,housing,housing owned by the council
council,housing,housing used by the council
council,housing,housing supplied by the council
council,housing,housing built by the council
council,housing,housing constructed by the council
council,housing,housing produced by the council
council,housing,housing regulated by the council
council,housing,housing provided by a local council
council,housing,housing supplied by a local council
council,housing,housing offered by a local council
council,housing,housing created by a local council
council,housing,housing governed by a local council
council,housing,housing owned and used by a local council
council,housing,housing owned by a local council
council,housing,housing used by a local council
council,housing,housing built by a local council
council,housing,housing constructed by a local council
council,housing,housing produced by a local council
council,housing,housing regulated by a local council
council,housing,housing provided by the local council
council,housing,housing supplied by the local council
council,housing,housing offered by the local council
council,housing,housing created by the local council
council,housing,housing governed by the local council
council,housing,housing owned and used by the local council
council,housing,housing owned by the local council
council,housing,housing used by the local council
council,housing,housing built by the local council
council,housing,housing constructed by the local council
council,housing,housing produced by the local council
council,housing,housing regulated by the local council
council,housing,housing that a council provides
council,housing,housing that a council supplies
council,housing,housing that a council creates
council,housing,housing that a council owns
council,housing,housing that a council uses
council,housing,housing that the council provides
council,housing,housing that the council supplies
council,housing,housing that the council creates
council,housing,housing that the council owns
council,housing,housing that the council uses
coup,plan,plan to carry out a coup
coup,plan,plan to conduct a coup
coup,plan,plan to execute a coup
coup,plan,plan to perform a coup
coup,plan,plan to do a coup
coup,plan,plan that details a coup
coup,plan,plan that details a coup to be done
coup,plan,plan in that a coup is developed
coup,plan,plan where a coup is developed
coup,plan,plan for a coup
coup,plan,plan about a coup
coup,plan,plan for carrying out a coup
coup,plan,plan for conducting a coup
coup,plan,plan for executing a coup
coup,plan,plan for performing a coup
coup,plan,plan for doing a coup
defence,budget,budget for defence
defence,budget,budget for defence projects
defence,budget,budget allocated for defence
defence,budget,budget committed for defence
defence,budget,budget made for defence
defence,budget,budget needed for defence
defence,budget,budget prepared for defence
defence,budget,budget proposed for defence
defence,budget,budget approved for defence
defence,budget,budget use for defence
defence,budget,budget allocated to defence
defence,budget,budget committed to defence
defence,budget,budget invested in defence
defence,budget,budget spent on defence
defence,budget,amount of the budget assigned to defence
defence,budget,amount of the budget budgeted to defence
defence,budget,amount of the budget spent on defence
defence,budget,budget describing the defence expenditure
defence,budget,budget describing defence expenditures
defence,budget,budget detailing the defence expenditure
defence,budget,budget detailing defence expenditures
defence,budget,budget of defence spending
defence,budget,budget of money to pay for defence
defence,budget,budget to pay for defence
defence,budget,budget allocated to support defence
defence,budget,budget committed to support defence
defence,budget,budget made to support defence
defence,budget,budget needed to support defence
defence,budget,budget prepared to support defence
defence,budget,budget proposed to support defence
defence,budget,budget used to support defence
defence,budget,budget approved to support defence
defence,budget,budget that meets the needs of defence
defence,budget,budget that meets defence needs
delivery,order,consignor's order to allow delivery of goods to consignee
delivery,order,consignor's order to permit delivery of goods to consignee
delivery,order,order to allow delivery of goods to a consignee
delivery,order,order to permit delivery of goods to a consignee
delivery,order,order to allow delivery of goods
delivery,order,order to permit delivery of goods
delivery,order,order to allow delivery of a consignee
delivery,order,order to permit delivery of a consignee
delivery,order,legal order allowing delivery of a consignment
delivery,order,legal order permitting delivery of a consignment
delivery,order,order allowing the delivery of goods
delivery,order,order permitting the delivery of goods
delivery,order,written order permitting delivery of goods to named bearer
delivery,order,written order allowing delivery of goods to named bearer
delivery,order,legal order permitting delivery of goods to named bearer
delivery,order,legal order allowing delivery of goods to named bearer
delivery,order,order permitting delivery of goods to named bearer
delivery,order,order allowing delivery of goods to named bearer
delivery,order,written order permitting delivery of goods to specified bearer
delivery,order,written order allowing delivery of goods to specified bearer
delivery,order,legal order permitting delivery of goods to specified bearer
delivery,order,legal order allowing delivery of goods to specified bearer
delivery,order,order permitting delivery of goods to specified bearer
delivery,order,order allowing delivery of goods to specified bearer
delivery,order,order for delivery of an item
delivery,order,order for delivery of goods
delivery,order,order signed by the receiver for a delivery
delivery,order,order signed by the consignee for a delivery
delivery,order,order signed to complete a delivery
delivery,order,order signed to finish a delivery
delivery,order,order signed to receive a delivery
delivery,order,written order allowing the delivery of goods to a receiver
delivery,order,written order permitting the delivery of goods to a receiver
delivery,order,legal order allowing the delivery of goods to a receiver
delivery,order,legal order permitting the delivery of goods to a receiver
delivery,order,order allowing the delivery of goods to a receiver
delivery,order,order permitting the delivery of goods to a receiver
discharge,limit,limit of discharge
discharge,limit,limit of a discharge
discharge,limit,limit of discharge amount
discharge,limit,limit the amount of discharge
discharge,limit,limit of the amount of discharge
discharge,limit,limit for discharge
discharge,limit,limit for a discharge
discharge,limit,limit allocated for discharge
discharge,limit,limit allocated for a discharge
discharge,limit,limit to discharge
discharge,limit,limit to a discharge
discharge,limit,limit permissible to discharge
discharge,limit,limit allowed to discharge
discharge,limit,limit on discharge
discharge,limit,limit on a discharge
discharge,limit,limit on discharge amount
divorce,rate,rate of divorce
divorce,rate,rate of divorces
divorce,rate,rate at that divorces occur
divorce,rate,rate at that divorces happen
divorce,rate,rate at that divorces are filed
divorce,rate,rate at that people divorce
divorce,rate,rate at that people get divorced
divorce,rate,rate at that people get divorces
divorce,rate,rate at that married people divorce
divorce,rate,rate at that married people get divorced
divorce,rate,rate at that married people get divorces
divorce,rate,rate of couples divorcing
divorce,rate,rate of couples getting divorced
divorce,rate,rate of couples getting divorces
divorce,rate,rate of people divorcing
divorce,rate,rate of people getting divorced
divorce,rate,rate of people getting divorces
divorce,rate,rate of married couples divorcing
divorce,rate,rate of married couples getting divorced
divorce,rate,rate of married couples getting divorces
divorce,rate,rate of married people divorcing
divorce,rate,rate of married people getting divorced
divorce,rate,rate of married people getting divorces
divorce,rate,rate of marriages that end in divorce
divorce,rate,rate of relationships that end in divorce
divorce,rate,rate at that married people quit their relation by divorce
divorce,rate,rate at that married people end their relation by divorce
divorce,rate,rate at that married people discontinue their relation by divorce
divorce,rate,rate at that married couples quit their relation by divorce
divorce,rate,rate at that married couples end their relation by divorce
divorce,rate,rate at that married couples discontinue their relation by divorce
door,knocker,knocker of a door
door,knocker,knocker on a door
door,knocker,knocker attached by a hinge to a door
door,knocker,knocker fastened by a hinge to a door
door,knocker,knocker attached to a door by a hinge
door,knocker,knocker fastened to a door by a hinge
door,knocker,knocker attached via hinge to a door
door,knocker,knocker fastened via hinge to a door
door,knocker,knocker attached to a door via hinge
door,knocker,knocker fastened to a door via hinge
door,knocker,knocker fixed by a hinge to a door
door,knocker,knocker fixed to a door by a hinge
door,knocker,knocker fixed via hinge to a door
door,knocker,knocker fixed to a door via hinge
door,knocker,knocker attached to a door
door,knocker,knocker fastened to a door
door,knocker,knocker fixed to a door
door,knocker,knocker fixed to the door
door,knocker,knocker for a door
door,knocker,knocker for the door
door,knocker,knocker made for a door
door,knocker,knocker made for the door
door,knocker,knocker created for a door
door,knocker,knocker created for the door
door,knocker,knocker located on the center of a door
door,knocker,knocker placed on the center of a door
door,knocker,knocker situated on the center of a door
door,knocker,knocker located on a door
door,knocker,knocker placed on a door
door,knocker,knocker situated on a door
door,knocker,knocker that is hung on doors
door,knocker,knocker that is hung on a door
door,knocker,knocker that is part of a door
door,knocker,knocker used to attract attention of people behind door
door,knocker,knocker used to knock a door
door,knocker,knocker used to knock on doors
door,knocker,knocker used to produce sound on a door
door,knocker,knocker used to make a sound on a door
door,knocker,knocker that knocked a door
door,knocker,knocker that knocks at a door
drama,project,project about drama
drama,project,project related to drama
drama,project,project for drama class
drama,project,project for a drama class
drama,project,project for the drama class
drama,project,project assigned in drama class
drama,project,project assigned in a drama class
drama,project,project involving drama
drama,project,project involving a drama
drama,project,project involving drama actors
drama,project,project planned as a drama
drama,project,project to perform a drama
drama,project,project to prepare a drama
drama,project,project to create a drama
drama,project,project to produce a drama
drama,project,project to create a drama series
drama,project,project to produce a drama series
drama,project,project to make a drama series
drama,project,project to perform a drama series
drug,charge,charge for using a drug
drug,charge,charge for consuming a drug
drug,charge,charge for marketing a drug
drug,charge,charge for possessing a drug
drug,charge,charge for selling a drug
drug,charge,charge for using drugs
drug,charge,charge for selling drugs
drug,charge,charge for consuming drugs
drug,charge,charge for marketing drugs
drug,charge,charge for possessing drugs
drug,charge,charge filed for the use of a drug
drug,charge,charge filed for the use of drugs
drug,charge,charge from prescription drug misuse
drug,charge,charge from drug misuse
drug,charge,charge from illegal drug misuse
drug,charge,charge from using an illegal drug
drug,charge,charge from the use of an illegal drug
drug,charge,charge from using illegal drugs
drug,charge,charge from the use of illegal drugs
drug,charge,charge from using a drug
drug,charge,charge from the use of a drug
drug,charge,charge from using drugs
drug,charge,charge from the use of drugs
drug,charge,charge related to drug use
drug,charge,charge associated with drug use
drug,charge,charge related to drugs
drug,charge,charge associated with drugs
drug,charge,charge related to illegal drugs
drug,charge,charge associated with illegal drugs
drug,money,money earned by drug dealers
drug,money,money made by drug dealers
drug,money,money from the drug business
drug,money,money earned from the drug business
drug,money,money acquired from the drug business
drug,money,money made from the drug business
drug,money,money obtained from the drug business
drug,money,money gained from the drug business
drug,money,money received from the drug business
drug,money,money involved in the drug business
drug,money,money related to drugs
drug,money,money associated with drugs
drug,money,money spent on drugs
drug,money,money from selling drugs
drug,money,money from dealing drugs
drug,money,money from drug trafficking
drug,money,money earned from selling drugs
drug,money,money earned from dealing drugs
drug,money,money earned by selling drugs
drug,money,money earned by dealing drugs
drug,money,money earned from drug sales
drug,money,money earned from the sale of drugs
drug,money,money gained from selling drugs
drug,money,money gained from dealing drugs
drug,money,money gained by selling drugs
drug,money,money gained by dealing drugs
drug,money,money gained from drug sales
drug,money,money gained from the sale of drugs
drug,money,money made from selling drugs
drug,money,money made from dealing drugs
drug,money,money made by selling drugs
drug,money,money made by dealing drugs
drug,money,money made from drug sales
drug,money,money made from the sale of drugs
drug,money,money obtained from selling drugs
drug,money,money obtained from dealing drugs
drug,money,money obtained by selling drugs
drug,money,money obtained by dealing drugs
drug,money,money obtained from drug sales
drug,money,money obtained from the sale of drugs
drug,money,money received from selling drugs
drug,money,money received from dealing drugs
drug,money,money received by selling drugs
drug,money,money received by dealing drugs
drug,money,money received from drug sales
drug,money,money received from the sale of drugs
drug,money,money acquired from selling drugs
drug,money,money acquired from dealing drugs
drug,money,money acquired by selling drugs
drug,money,money acquired by dealing drugs
drug,money,money acquired from drug sales
drug,money,money acquired from the sale of drugs
drug,money,money from drug sales
drug,money,money from the sale of drugs
drug,money,money made by drug trafficking
drug,money,money made from drug trafficking
drug,money,money gained by drug trafficking
drug,money,money gained from drug trafficking
drug,money,money acquired by drug trafficking
drug,money,money acquired from drug trafficking
drug,money,money earned by drug trafficking
drug,money,money earned from drug trafficking
drug,money,money derived from drug trafficking
energy,input,input of energy
energy,input,input amount of energy
energy,input,input of an amount of energy
energy,input,input of a quantity of energy
energy,input,input of a quantity of energy from a source
energy,input,input from an energy source
energy,input,input derived from an energy source
energy,input,input obtained from an energy source
energy,input,input produced by an energy source
energy,input,input generated by an energy source
energy,input,input of energy to carry out tasks
energy,input,input of energy to perform tasks
equity,investment,investment in equity
equity,investment,investment in company equity
equity,investment,investment in equity of a company
equity,investment,investment in an equity share
equity,investment,investment in equity shares
equity,investment,investment by shareholders in equity
equity,investment,investment by shareholders of equity
equity,investment,investment by shareholders in company equity
equity,investment,investment by shareholders of company equity
equity,investment,investment by shareholders in equity of a company
equity,investment,investment by shareholders of equity of a company
equity,investment,investment made in equity
equity,investment,investment made in equity shares
equity,investment,investment made in company equity
equity,investment,investment made in equity of a company
equity,investment,investment taken in equity
equity,investment,investment taken in equity shares
equity,investment,investment taken in equity of a company
equity,investment,investment taken in company equity
family,fun,fun with the family
family,fun,fun had with the family
family,fun,fun enjoyed by a family
family,fun,fun experienced by a family
family,fun,fun felt by a family
family,fun,fun had by a family
family,fun,fun experienced by the family
family,fun,fun enjoyed by the family
family,fun,fun felt by the family
family,fun,fun had by the family
family,fun,fun that the whole family enjoys
family,fun,fun that the whole family experienced
family,fun,fun that the whole family has
family,fun,fun meant for a family
family,fun,fun meant for a whole family
family,fun,fun meant for an entire family
family,fun,fun meant for the family
family,fun,fun meant for the whole family
family,fun,fun meant for the entire family
family,fun,fun for a family
family,fun,fun for the family
family,fun,fun for the entire family
family,fun,fun for the whole family
family,fun,fun a family has
family,fun,fun a family experiences
family,fun,fun the family has
family,fun,fun the family experiences
family,fun,fun experienced with family
family,fun,fun enjoyed with family
family,fun,fun derived from the members of the family
fire,officer,officer in a fire department
fire,officer,officer in the fire department
fire,officer,officer in charge of extinguishing a fire
fire,officer,officer in charge of extinguishing fires
fire,officer,officer in charge of extinguishing fire
fire,officer,officer of fire services
fire,officer,officer providing safety against fire
fire,officer,officer providing fire safety
fire,officer,officer taking precautionary measures against fire
fire,officer,officer that takes precautionary measures against fire
fire,officer,officer who takes precautionary measures against fire
fire,officer,officer that fights fire
fire,officer,officer that fights fires
fire,officer,officer that extinguishes fire
fire,officer,officer that extinguishes fires
fire,officer,officer that controls fire
fire,officer,officer that controls fires
fire,officer,officer that puts out fires
fire,officer,officer that deals with fires
fire,officer,officer that deals with fire emergencies
fire,officer,officer that works in the fire department
fire,officer,officer that is employed in the fire department
fire,officer,officer who fights fire
fire,officer,officer who fights fires
fire,officer,officer who extinguishes fire
fire,officer,officer who extinguishes fires
fire,officer,officer who controls fire
fire,officer,officer who controls fires
fire,officer,officer who puts out fires
fire,officer,officer who deals with fires
fire,officer,officer who deals with fire emergencies
fire,officer,officer who works in the fire department
fire,officer,officer who is employed in the fire department
fire,officer,officer whose job is to oversee fire safety
fire,officer,officer whose job is to prevent fires
fire,officer,officer whose job is to put out fires
fire,officer,officer whose job is to fight fires
fire,officer,officer whose job is to extinguish fires
fire,officer,officer whose job is to control fires
fire,service,service provided by fire fighters
fire,service,service done by fire fighters
fire,service,service involving fire fighters
fire,service,service supplied by fire fighters
fire,service,service volunteered by fire fighters
fire,service,service offered by fire fighters
fire,service,service that employs fire fighters
fire,service,service that hires fire fighters
fire,service,service provided by firefighters
fire,service,service done by firefighters
fire,service,service involving firefighters
fire,service,service supplied by firefighters
fire,service,service volunteered by firefighters
fire,service,service offered by firefighters
fire,service,service that employs firefighters
fire,service,service that hires firefighters
fire,service,service done by fire service
fire,service,service of putting out fires
fire,service,service in case of fire
fire,service,service provided in case of fire
fire,service,service provided to control fire
fire,service,service provided to prevent fire
fire,service,service provided to extinguish fire
fire,service,service supplied to control fire
fire,service,service supplied to prevent fire
fire,service,service supplied to extinguish fire
fire,service,service rendered to douse fire
fire,service,service to control fire
fire,service,service to extinguish fire
fire,service,service to help in case of fire
fire,service,service to stop fire
fire,service,service to prevent fire
fire,service,service to put out fire
fire,service,service to aid in case of fire
fire,service,service supplied in case of fire
fire,service,service supplied to douse fire
fire,service,service supplied to put out fire
fire,service,service provided in case of fire
fire,service,service provided to douse fire
fire,service,service provided to put out fire
fire,service,service rendered in case of fire
fire,service,service rendered to douse fire
fire,service,service rendered to put out fire
fire,service,service that fights fire
front,cover,cover at front
front,cover,cover at the front
front,cover,cover at the front side
front,cover,cover at the front of a book
front,cover,cover for the front side
front,cover,cover for the front of a book
front,cover,cover of the front
front,cover,cover of the front of a book
front,cover,cover on the front
front,cover,cover on the front side
front,cover,cover on the front of a book
front,cover,cover that covers the front
front,cover,cover that covers the front side
front,cover,cover that covers the front of a book
front,tooth,tooth in the front of a mouth
front,tooth,tooth in the front of the mouth
front,tooth,tooth in the front of one's mouth
front,tooth,tooth at the front of a mouth
front,tooth,tooth at the front of the mouth
front,tooth,tooth at the front of one's mouth
front,tooth,tooth in the front part of a mouth
front,tooth,tooth in the front part of the mouth
front,tooth,tooth in the front part of one's mouth
garden,party,party in a garden
garden,party,party in the garden
garden,party,party arranged in a garden
garden,party,party conducted in a garden
garden,party,party taking place in a garden
garden,party,party held in a garden
garden,party,party hosted in a garden
garden,party,party celebrated in a garden
garden,party,party organized in a garden
garden,party,party occurring in a garden
garden,party,party staged in a garden
garden,party,party arranged in the garden
garden,party,party conducted in the garden
garden,party,party taking place in the garden
garden,party,party held in the garden
garden,party,party hosted in the garden
garden,party,party celebrated in the garden
garden,party,party organized in the garden
garden,party,party occurring in the garden
garden,party,party staged in the garden
garden,party,party that takes place in a garden
garden,party,party that occurs in a garden
garden,party,party that happens in a garden
garden,party,party that takes place in the garden
garden,party,party that occurs in the garden
garden,party,party that happens in the garden
garden,party,party that occurs outside in a garden
garden,party,party that happens outside in a garden
garden,party,party that occurs outside in the garden
garden,party,party that happens outside in the garden
garden,party,party at a garden
garden,party,party hosted at a garden
garden,party,party hosted at one's garden
garden,party,party that has a garden for it's venue
garden,party,party that has a garden for the venue
garden,party,party that uses a garden for it's venue
garden,party,party that uses a garden for the venue
garden,party,party with a garden venue
gift,voucher,voucher given as a gift
gift,voucher,voucher received as a gift
gift,voucher,voucher given for a gift
gift,voucher,voucher received for a gift
gift,voucher,voucher that carries a gift amount
gift,voucher,voucher that holds a gift amount
gift,voucher,voucher that people use as a gift
gift,voucher,voucher that people give as a gift
gift,voucher,voucher used as a gift
gift,voucher,voucher meant to be given as a gift
gift,voucher,voucher intended to be given as a gift
gift,voucher,voucher intended to give away as a gift
gift,voucher,voucher intended to be given away as a gift
gift,voucher,voucher meant to give away as a gift
gift,voucher,voucher meant to be given away as a gift
gift,voucher,voucher that can be used as a gift
gift,voucher,voucher given to buy a gift
gift,voucher,voucher normally given as a gift
gift,voucher,voucher usually given as a gift
golf,tournament,tournament of golf
golf,tournament,tournament of the game of golf
golf,tournament,tournament of the sport of golf
golf,tournament,tournament where golf is played
golf,tournament,tournament for the sport of golf
golf,tournament,tournament arranged for the sport of golf
golf,tournament,tournament staged for the sport of golf
golf,tournament,tournament organized for the sport of golf
golf,tournament,tournament arranged for the game of golf
golf,tournament,tournament staged for the game of golf
golf,tournament,tournament organized for the game of golf
golf,tournament,tournament arranged to play golf
golf,tournament,tournament staged to play golf
golf,tournament,tournament organized to play golf
golf,tournament,tournament conducted for golf
golf,tournament,tournament held for golf
golf,tournament,tournament consisting of golf
golf,tournament,tournament for golf championship
golf,tournament,tournament for golfers
golf,tournament,tournament for the game of golf
golf,tournament,tournament for the sport of golf
golf,tournament,tournament held on a golf course
golf,tournament,tournament involving golf players
golf,tournament,tournament involving playing golf
golf,tournament,tournament involving the game of golf
golf,tournament,tournament involving the sport of golf
golf,tournament,tournament in that golf is played
golf,tournament,tournament that golf players compete in
government,authority,authority of government
government,authority,authority of a government
government,authority,authority of the government
government,authority,authority appointed by government
government,authority,authority appointed by the government
government,authority,authority exercising the power of government
government,authority,authority exercising the power of a government
government,authority,authority exercising the power of the government
government,authority,authority given to government
government,authority,authority given to a government
government,authority,authority given to the government
government,authority,authority in control of government
government,authority,authority in control of a government
government,authority,authority in control of the government
government,authority,authority in a government
government,authority,authority that has government power
government,authority,authority who has government power
government,authority,authority that is a part of the government
government,authority,authority who is a part of the government
government,authority,authority that represents government
government,authority,authority who represents government
government,authority,authority representing government
government,authority,authority that represents a government
government,authority,authority who represents a government
government,authority,authority representing a government
government,authority,authority that represents the government
government,authority,authority who represents the government
government,authority,authority representing the government
government,authority,authority yielded to government
government,authority,authority yielded to a government
government,authority,authority yielded to the government
government,authority,authority held by government
government,authority,authority held by a government
government,authority,authority held by the government
government,authority,authority granted to government
government,authority,authority granted to a government
government,authority,authority granted to the government
grain,trade,trade of grain
grain,trade,trade based on grain
grain,trade,trade done with grain
grain,trade,trade made with grain
grain,trade,trade dealing with grain
grain,trade,trade that deals with grain
grain,trade,trade involving grain
grain,trade,trade that involves grain
grain,trade,trade related to grain
grain,trade,trade associated with grain
hand,grip,grip for a hand
hand,grip,grip for the hand
hand,grip,grip for a hand to hold
hand,grip,grip for the hand to hold
hand,grip,grip for a hand to hold something
hand,grip,grip for the hand to hold something
hand,grip,grip for a hand to clasp
hand,grip,grip for the hand to clasp
hand,grip,grip for a hand to clasp something
hand,grip,grip for the hand to clasp something
hand,grip,grip for a hand to grab
hand,grip,grip for the hand to grab
hand,grip,grip for a hand to grab something
hand,grip,grip for the hand to grab something
hand,grip,grip for holding with a hand
hand,grip,grip of a hand
hand,grip,grip of the hand
hand,grip,grip designed for a hand
hand,grip,grip designed for the hand
hand,grip,grip intended for a hand
hand,grip,grip intended for the hand
hand,grip,grip meant for a hand
hand,grip,grip meant for the hand
hand,grip,grip made for a hand
hand,grip,grip made for the hand
hand,grip,grip held by a hand
hand,grip,grip held by the hand
hand,grip,grip meant to be held by a hand
hand,grip,grip meant to be held by the hand
hand,grip,grip designed to be held by a hand
hand,grip,grip designed to be held by the hand
hand,grip,grip made to be held by a hand
hand,grip,grip made to be held by the hand
hand,grip,grip intended to be held by a hand
hand,grip,grip intended to be held by the hand
